Time,Bitrate,Buffer Level,Throughput,Download,Segment Size
9,0.882,0.895,1.445,3.17,882000
17,0.542,5.909,1.444,4.83,542000
25,0.882,5.906,1.444,3.28,882000
33,0.542,2.144,1.444,2.49,542000
41,0.542,11.386,1.445,2.21,542000
49,0.542,11.454,1.446,2.01,542000
57,0.542,11.45,1.446,2.64,542000
65,0.542,11.482,1.446,4.24,542000
73,0.542,11.515,1.447,1.68,542000
81,0.882,11.546,1.45,0.78,882000
89,0.882,11.573,1.45,3.12,882000
97,0.882,11.054,1.45,3.42,882000
105,0.882,11.152,1.448,5.15,882000
113,0.882,11.15,1.445,2.92,882000
121,0.882,11.147,1.445,3.69,882000
129,0.882,11.176,1.444,4.18,882000
137,0.882,11.205,1.444,3.46,882000
145,0.882,11.01,1.444,3.2,882000
153,0.882,11.002,1.444,3.07,882000
161,0.882,11.038,1.445,3.31,882000
169,0.882,11.069,1.444,5.35,882000
177,1.628,18.993,13.515,0.15,1628000
185,1.628,67.23,42.878,0.16,1628000
193,1.628,66.827,48.657,0.13,1628000
201,1.628,66.822,47.772,0.4,1628000
209,1.628,66.855,50.188,0.17,1628000
217,1.628,66.951,50.455,0.1,1628000
225,1.628,66.762,51.829,0.14,1628000
233,1.628,66.683,63.949,0.26,1628000
241,1.628,66.816,62.244,0.35,1628000
249,1.628,66.844,62.369,0.33,1628000
257,1.628,66.879,64.317,0.19,1628000
265,1.628,66.874,64.831,0.12,1628000
273,1.628,58.904,64.831,0.12,1628000
281,1.628,66.869,58.513,0.29,1628000
289,1.628,66.936,54.565,0.4,1628000
297,1.628,58.703,54.565,0.4,1628000
305,1.628,50.734,54.565,0.4,1628000
313,1.628,50.797,47.924,12.43,1628000
321,1.628,58.796,25.467,3.16,1628000
329,1.628,58.827,1.443,5.72,1628000
337,1.628,58.891,1.444,5.37,1628000
345,1.628,58.957,1.444,7.27,1628000
353,1.628,58.858,1.443,7.8,1628000
361,1.628,50.952,1.443,7.8,1628000
369,1.628,42.718,1.443,7.8,1628000
377,1.628,34.749,1.443,7.8,1628000
385,1.628,26.78,1.443,7.8,1628000
393,1.628,18.811,1.443,7.8,1628000
401,0.882,10.842,1.443,7.8,882000
409,0.542,2.875,1.443,7.8,542000
417,0.542,2.777,1.256,13.51,542000
425,0.542,0.161,1.256,13.51,542000
433,0.542,1.429,1.072,9.21,542000
441,0.542,1.561,0.88,7.17,542000
449,0.542,9.591,0.611,5.07,542000
457,0.542,9.59,0.654,2.98,542000
465,0.542,17.619,0.919,1.42,542000
473,0.542,17.193,10.066,0.06,542000
481,1.628,9.208,56.387,0.51,1628000
489,0.882,1.256,45.958,0.49,882000
497,0.882,82.307,45.958,0.49,882000
505,0.882,74.337,45.958,0.49,882000
513,0.882,66.369,45.958,0.49,882000
521,0.882,58.399,45.958,0.49,882000
529,0.882,50.427,45.958,0.49,882000
537,0.882,42.457,45.958,0.49,882000
545,0.882,34.493,45.958,0.49,882000
553,0.882,26.525,45.958,0.49,882000
561,0.882,18.556,45.958,0.49,882000
569,0.882,10.322,45.958,0.49,882000
577,0.882,2.353,45.958,0.49,882000
585,0.882,0.127,45.958,0.49,882000
593,0.882,0.127,45.958,0.49,882000
601,0.882,0.127,45.958,0.49,882000
609,0.882,0.127,45.958,0.49,882000
