Time,Bitrate,Buffer Level,Throughput,Download,Segment Size,,Type: Throughput,,
9.287999868,0.882,4.079,1.441,3.17,7056000,,,,
17.27999997,0.542,0.137,1.431,6.23,4336000,,,,Fast3G down = 1.44 Mbps max
25.27900004,0.882,9.092,1.433,3.29,7056000,,,,
33.2809999,0.542,1.121,1.433,8.31,4336000,,,,
41.27900004,0.542,6.878,1.438,3.74,4336000,,,,
49.27600002,0.542,14.882,1.431,2.04,4336000,,,,
57.28299999,0.542,14.605,1.432,2.65,4336000,,,,
65.27900004,0.542,14.625,1.432,4.26,4336000,,,,
73.28399992,0.542,14.637,1.436,1.69,4336000,,,,
81.27399993,0.542,14.645,1.44,0.78,4336000,,,,
89.27900004,0.882,14.688,1.438,3.15,7056000,,,,
97.28600001,0.882,14.5,1.438,3.44,7056000,,,,
105.276,0.882,6.511,1.438,3.44,7056000,,,,
113.283,0.882,14.302,1.435,2.94,7056000,,,,
121.276,0.882,14.292,1.435,3.73,7056000,,,,
129.277,0.882,14.324,1.429,4.25,7056000,,,,
137.2779999,0.882,14.338,1.429,3.5,7056000,,,,
145.2849998,0.882,14.379,1.43,3.2,7056000,,,,
153.2779999,0.882,14.384,1.431,3.1,7056000,,,,
161.2809999,0.882,14.413,1.435,3.35,7056000,,,,
169.2809999,0.882,6.444,1.435,3.35,7056000,,,,
177.283,0.882,14.538,6.079,0.23,7056000,,,,
185.273,1.628,62.485,51.13,0.04,13024000,,,,
193.2779999,1.628,62.068,51.13,0.04,13024000,,,,
201.2839999,1.628,62.011,51.13,0.03,13024000,,,,
209.279,1.628,62.015,51.13,0.04,13024000,,,,
217.273,1.628,62.036,51.13,0.05,13024000,,,,
225.2749999,1.628,62.131,51.13,0.02,13024000,,,,
233.2849998,1.628,62.086,51.13,0.04,13024000,,,,
241.2719998,1.628,62.115,88.642,0.05,13024000,,,,
249.283,1.628,62.248,88.642,0.04,13024000,,,,
257.283,1.628,62.264,88.642,0.04,13024000,,,,
265.286,1.628,62.278,88.642,0.04,13024000,,,,
273.273,1.628,62.021,88.642,0.03,13024000,,,,
281.286,1.628,62.041,125.564,0.06,13024000,,,,
289.279,1.628,62.012,168.613,0.06,13024000,,,,
297.283,1.628,62.076,178.55,0.08,13024000,,,,
305.2849998,1.628,54.105,178.55,0.08,13024000,,,,
313.2719998,1.628,54.166,160.839,12.5,13024000,,,,
321.2809999,1.628,54.205,209.132,5.74,13024000,,,,
329.283,1.628,54.201,150.833,3.17,13024000,,,,
337.2809999,0.882,54.216,1.435,5.75,7056000,,,,
345.2849998,0.882,46.228,1.435,5.75,7056000,,,,
353.276,0.882,37.979,1.435,5.75,7056000,,,,
361.2739999,0.882,29.974,1.435,5.75,7056000,,,,
369.279,0.882,22,1.435,5.75,7056000,,,,
377.2849998,0.882,14.025,1.435,5.75,7056000,,,,
385.276,0.882,14.032,1.435,3.03,7056000,,,,
393.2879999,0.882,13.336,1.434,3.98,7056000,,,,
401.2819998,0.882,13.371,1.434,4.51,7056000,,,,
409.283,0.882,5.404,1.434,4.51,7056000,,,,
417.2739999,0.542,6.391,1.434,12.06,4336000,,,,
425.276,0.542,4.397,1.433,6.22,4336000,,,,
433.286,0.542,12.418,1.432,3.37,4336000,,,,
441.28,0.542,12.555,1.434,2.4,4336000,,,,
449.276,0.542,12.526,1.436,3.73,4336000,,,,
457.279,0.542,12.588,1.438,2.84,4336000,,,,
465.2839999,0.542,12.58,1.437,1.52,4336000,,,,
473.276,0.542,12.571,1.434,1.83,4336000,,,,
481.277,1.628,4.6,35.254,0.01,13024000,,,,
489.2739999,1.628,118.37,35.254,0.01,13024000,,,,
497.2869999,1.628,110.403,35.254,0.01,13024000,,,,
505.28,1.628,102.438,35.254,0.01,13024000,,,,
513.2869999,1.628,94.433,35.254,0.01,13024000,,,,
521.2839999,1.628,86.467,35.254,0.01,13024000,,,,
529.2719998,1.628,78.221,35.254,0.01,13024000,,,,
537.28,1.628,70.251,35.254,0.01,13024000,,,,
545.2739999,1.628,61.904,35.254,0.01,13024000,,,,
553.276,1.628,53.934,35.254,0.01,13024000,,,,
561.276,1.628,45.966,35.254,0.01,13024000,,,,
569.279,1.628,37.994,35.254,0.01,13024000,,,,
577.2779999,1.628,30.027,35.254,0.01,13024000,,,,
585.2819998,1.628,21.787,35.254,0.01,13024000,,,,
593.2869999,1.628,13.812,35.254,0.01,13024000,,,,
601.277,1.628,5.856,35.254,0.01,13024000,,,,
609.2749999,1.628,5.163,35.254,0.01,13024000,,,,
