Time,Bitrate,Buffer Level,Throughput,Download,Segment Size
9,0.542,8.336,1.446,6.13,542000
17,0.882,8.402,1.446,4.82,882000
25,0.542,4.343,1.445,5.7,542000
33,0.542,8.217,1.444,2.49,542000
41,0.542,16.246,1.445,2.22,542000
49,0.542,16.157,1.446,2.01,542000
57,0.542,16.135,1.446,2.64,542000
65,0.542,8.343,1.446,2.64,542000
73,0.542,16.369,1.447,1.68,542000
81,0.542,8.139,1.448,1.14,542000
89,0.542,15.781,1.45,2.18,542000
97,0.542,15.933,1.448,3.25,542000
105,0.542,15.931,1.448,1.82,542000
113,0.542,15.966,1.448,2.32,542000
121,0.542,15.961,1.448,2.52,542000
129,0.542,15.746,1.448,2.33,542000
137,0.542,15.792,1.448,2.05,542000
145,0.882,7.825,1.448,2.05,882000
153,0.542,4.913,1.446,3.55,542000
161,0.542,24.293,1.447,2.25,542000
169,0.542,16.092,1.447,2.25,542000
177,0.542,16.057,10.39,0.09,542000
185,0.542,16.15,21.293,0.06,542000
193,0.542,16.184,21.095,0.15,542000
201,0.542,16.183,19.895,0.22,542000
209,0.542,14.569,19.895,0.22,542000
217,1.628,11.396,19.895,0.22,1628000
225,1.628,3.426,55.765,0.46,1628000
233,0.542,285.986,57.583,0.09,542000
241,0.542,278.015,57.583,0.09,542000
249,0.542,270.044,57.583,0.09,542000
257,0.542,262.078,57.583,0.09,542000
265,0.542,254.105,57.583,0.09,542000
273,0.542,246.139,57.583,0.09,542000
281,0.542,237.903,57.583,0.09,542000
289,0.542,229.934,57.583,0.09,542000
297,0.542,221.965,57.583,0.09,542000
305,0.542,213.999,57.583,0.09,542000
313,0.542,206.027,57.583,0.09,542000
321,0.542,198.063,57.583,0.09,542000
329,0.542,190.093,57.583,0.09,542000
337,0.542,182.122,57.583,0.09,542000
345,0.542,173.892,57.583,0.09,542000
353,0.542,165.923,57.583,0.09,542000
361,0.542,157.951,57.583,0.09,542000
369,0.542,149.984,57.583,0.09,542000
377,0.542,142.016,57.583,0.09,542000
385,0.542,134.044,57.583,0.09,542000
393,0.542,126.077,57.583,0.09,542000
401,0.542,118.107,57.583,0.09,542000
409,0.542,110.14,57.583,0.09,542000
417,0.542,101.903,57.583,0.09,542000
425,0.542,93.934,57.583,0.09,542000
433,0.542,85.967,57.583,0.09,542000
441,0.542,77.996,57.583,0.09,542000
449,0.542,70.031,57.583,0.09,542000
457,0.542,62.059,57.583,0.09,542000
465,0.542,54.092,57.583,0.09,542000
473,0.542,46.122,57.583,0.09,542000
481,0.542,37.892,57.583,0.09,542000
489,0.542,29.92,57.583,0.09,542000
497,0.542,21.953,57.583,0.09,542000
505,0.542,13.984,57.583,0.09,542000
513,1.628,6.015,67.192,0.04,1628000
521,1.628,38.01,67.192,0.04,1628000
529,1.628,30.04,67.192,0.04,1628000
537,1.628,22.071,67.192,0.04,1628000
545,1.628,14.106,67.192,0.04,1628000
553,1.628,6.132,67.192,0.04,1628000
561,1.628,38.779,67.192,0.04,1628000
569,1.628,31.486,67.192,0.04,1628000
577,1.628,29.896,67.192,0.04,1628000
585,1.628,21.662,67.192,0.04,1628000
593,1.628,13.691,67.192,0.04,1628000
601,1.628,5.719,67.192,0.04,1628000
